[-1441,-2228,8],1
1751,1969,10,2
1526,-1787,9,1
-597,-1349,9,1
-1982,839,10,2
841,622,7,1
464,2906,11,1
-1819,-1370,11,1
658,1412,8,1
-848,1788,8,2
2845,-272,10,2
-2310,1133,10,2
842,-1411,7,1
-2410,252,7,2
621,-2578,7,2
1444,784,9,2
-1577,1521,10,2
-941,-1112,12,1
-1265,1417,8,2
2611,326,12,2
-2249,-1182,7,2
1953,-1867,10,1
983,-1428,9,1
114,1362,10,1
2845,-660,12,2
-2021,1389,11,2
-1669,-1550,7,1
790,1754,8,1
2161,1987,7,1
855,-660,12,1
824,1085,12,1
-1164,-2006,9,1
-104,2450,7,1
2911,-343,10,2
-1641,-481,8,1
-69,-1280,9,2
312,2932,7,1
2038,1866,12,2
-1004,741,8,1
2763,-522,9,2
1756,-826,8,1
913,-2066,7,2
-249,-381,7,1
555,-2194,10,2
769,2649,7,1
1601,-2036,10,2
1271,-530,7,1
-793,1720,11,2
24,1771,9,1
2161,1987,11,2
2586,-382,7,2
-828,727,10,1
1076,1777,11,2
-2344,-1478,9,1
-1967,-748,8,1
1089,241,8,1
-1593,2063,9,2
439,716,9,1
-641,589,11,2
-2249,-1182,11,2
-1319,-2438,7,2
1569,-5,9,1
1204,1863,9,2
702,-2692,9,2
-150,345,7,1
1723,-1443,10,1
-535,326,8,1
1083,2123,11,2
555,-2194,11,2
-173,521,10,2
1612,-2181,9,1
-948,-1392,7,1
-2184,1308,11,2
622,2534,10,2
2102,744,7,2
-1039,-2526,11,2
-671,845,9,2
2266,758,8,1
-968,-815,10,1
638,2001,9,2
1098,1577,10,1
-2071,780,7,2
0,-34,11,2
1165,-36,7,1
303,-3,9,1
-2116,1016,9,2
-272,-1623,12,2
-682,-2177,12,2
1282,1995,8,1
1781,1630,10,2
2282,-62,7,1
2907,585,10,2
-183,1945,7,1
-999,27,8,1
-1531,-279,10,2
-2009,-970,10,2
1349,-184,9,1
137,-1087,7,1
-718,1703,10,2
533,-2427,12,2
1715,-1408,10,1
2379,950,9,2
896,1107,7,1
689,1504,10,2
1612,-2181,10,2
-227,2105,10,2
1858,986,8,1
-473,1074,10,2
-24,1203,9,1
1241,170,11,2
675,-1852,12,2
9,1253,10,2
-39,1167,7,1
-64,70,9,1
1423,1045,9,2
880,1254,12,2
-2116,1016,11,2
1346,-585,8,1
-2152,-1900,8,2
599,1293,11,1
276,602,12,2
-2658,-475,7,1
-1726,-1711,8,1
-1044,1684,12,2
1239,698,12,2
-2045,-1855,12,2
-975,2223,11,2
1945,-949,7,1
-1442,1393,12,2
-2354,527,11,2
-470,-1524,10,2
2384,283,7,2
754,2088,9,2
638,2001,9,2
2574,458,8,1
-2333,1773,11,2
1158,1421,10,1
2511,-458,7,1
-674,-2354,10,2
-2465,282,10,2
-649,-2372,7,1
1602,-1406,11,2
983,-1428,11,2
-1737,-1671,10,1
-2107,702,9,1
1371,113,9,1
372,2487,9,1
622,2534,10,1
-2642,-1366,12,2
854,1251,11,2
-989,-2291,11,2
1408,960,7,1
920,2175,8,1
-2664,-156,12,2
194,432,12,2
-249,-381,12,2
544,1119,7,1
-636,597,11,2
142,-1439,10,1
1079,2137,12,2
-2344,-1478,9,1
-300,-2226,11,2
-328,296,11,2
2606,-646,11,2
-103,1586,11,1
2470,-154,7,1
-1944,1874,11,2
-550,2234,8,1
769,2649,10,1
589,-2715,10,2
1057,-2697,10,2
2756,-469,9,2
-1510,-1943,11,1
-1659,-452,9,1
1578,1877,12,2
456,-1497,9,2
-2299,-1023,7,1
-753,-2628,9,2
1887,559,11,2
120,1893,10,1
-623,146,12,2
-2009,1636,8,2
754,2088,12,1
-1003,806,10,2
1074,527,8,1
-464,1578,11,1
1158,1539,10,2
2102,744,7,1
878,-925,10,2
1023,-1361,10,2
-2116,1016,11,2
1409,1473,11,2
1232,-1435,9,1
-1007,569,7,1
-490,652,9,1
162,2436,7,2
35,1218,7,1
716,39,10,1
-2554,1533,7,1
276,602,11,1
120,1893,9,1
-2395,618,10,2
1827,-722,8,1
-1074,307,8,1
-2115,1740,11,2
1934,-1748,11,1
-1085,862,9,1
2422,-242,10,2
2341,-1754,9,1
-597,-1349,11,1
-855,-1677,8,1
-1125,-2448,12,2
-577,-2172,12,2
603,-2366,8,1
1598,1415,10,2
2473,104,7,1
1418,-2574,9,2
1316,2465,10,2
2117,-1644,10,2
-1815,-1936,7,1
-1441,-2228,9,1
1969,466,7,1
-2845,-904,8,1
1522,-599,10,1
-2237,537,12,2
-583,-226,7,1
1969,-1824,8,1
1158,1988,11,2
2422,-242,12,2
2669,1075,11,2
2667,-1007,7,1
-1329,-214,9,1
-1129,389,11,2
-843,1100,10,1
-1792,2374,12,2
-470,611,12,2
1153,149,8,1
-719,789,7,1
-1857,-980,9,1
1028,-2394,9,2
589,1450,11,2
274,2566,10,1
329,2084,7,1
-674,-2354,11,2
770,-136,9,1
-614,516,8,1
-2238,-590,8,1
221,1140,9,1
-2462,-467,7,1
905,1119,12,2
-2235,1117,7,1
-385,-171,12,2
-1243,2012,10,2
619,1519,11,1
-1510,-1943,11,1
2207,169,9,1
-1929,2219,8,2
-1464,1247,8,1
-1272,1646,10,1
1089,241,7,1
-120,-2152,7,1
-390,-2189,12,2
-1004,741,8,1
2072,-255,10,1
1963,1974,7,1
-447,268,9,1
-509,-1652,9,2
943,-1249,8,1
885,-2451,11,2
-895,947,12,2
-2979,346,9,2
-1944,1874,7,1
1083,2123,7,1
539,-360,8,1
702,-2692,11,2
9,1253,8,1
-1272,1646,10,2
586,-2342,7,1
1320,429,8,1
-300,2488,10,2
-1819,-1370,12,2
-2018,1666,7,2
1023,-1361,9,1
-1470,1064,12,2
1766,-277,12,1
2342,1428,9,2
2419,35,7,2
-2462,-467,9,1
675,-1852,10,2
-1092,-309,10,1
2791,-684,7,1
1750,2406,9,2
-1243,2012,10,2
-750,1844,10,2
-964,-1431,9,2
-217,-125,9,2
-914,-2637,7,2
2041,425,7,1
-229,2561,9,2
1292,-2356,11,2
561,-1705,8,1
-1077,1403,9,2
852,-2842,10,2
-1669,-1550,9,1
-884,-212,12,2
2427,280,10,2
-1051,-719,11,1
190,1784,10,1
577,-2133,8,2
2215,-1443,8,1
-2541,-597,12,2
2264,1560,12,2
-277,1521,11,1
-1065,-2158,12,2
-2540,-117,12,2
-1737,-1598,8,1
-1988,725,12,2
-1263,2256,10,2
1788,121,7,1
599,1293,8,1
-235,1617,12,1
2404,893,9,2
920,2175,11,1
-2395,618,11,2
1602,-1406,9,1
-2006,739,7,2
-1523,-762,10,1
2756,-469,12,1
1165,-36,10,1
1425,433,7,1
2332,1516,8,2
-2057,318,7,2
-547,-2763,10,2
-1077,2170,8,1
577,-2133,8,1
-807,-2458,8,1
686,-877,10,1
-245,-2765,10,2
-2332,71,8,1
-607,2713,7,1
-533,-2002,7,2
-1272,-833,7,1
1469,-628,11,1
-1727,-769,10,1
-2009,-970,10,2
1444,784,10,2
-1152,1280,12,2
2898,329,11,2
-12,-1668,7,2
-2115,1740,9,2
35,1218,12,1
-169,2968,9,2
1488,652,11,1
-1084,1374,7,1
-403,2262,7,2
-834,-2645,10,2
-2979,346,9,2
808,568,10,2
-1641,-481,12,1
-2237,537,7,1
14,579,9,2
690,2647,9,2
13,2556,10,1
-2027,-1946,7,2
-2579,-644,7,2
1468,-594,11,1
805,-2589,11,2
-224,715,7,1
2543,1467,10,2
-1356,-1918,12,2
-1272,1646,12,2
646,-2281,8,2
266,-1929,12,2
-1246,-201,8,1
599,1293,9,1
2414,-579,10,1
-909,2462,7,1
-227,2265,9,2
-1549,2144,10,2
2463,345,11,1
714,2207,10,1
-825,242,9,1
-221,-2105,10,1
561,-1705,9,1
602,-2441,7,1
329,2084,12,2
-607,2713,7,1
-1003,806,12,2
1716,116,8,1
684,1683,7,2
-60,1708,7,1
-352,-2051,8,2
-999,27,8,1
2650,636,10,2
-607,2713,8,2
-170,1813,12,1
-114,1472,7,1
-1815,-1936,11,1
2447,105,11,2
1135,495,8,2
601,404,8,2
-2540,-117,7,1
2543,1467,11,2
1165,-36,10,1
1716,516,11,2
619,1519,8,1
-824,-1835,12,2
716,1141,11,1
-682,-2177,7,1
-2184,1308,8,1
2202,1512,9,1
-989,-2291,7,1
1881,834,10,1
-2480,901,11,2
-1178,-1366,12,2
1764,23,12,2
1918,-441,8,1
2711,-530,12,2
-2540,-117,12,2
1423,1045,10,1
1969,-1824,10,1
1054,1894,9,2
2417,-1134,12,2
745,-410,9,1
632,642,9,2
21,-1626,7,1
-1067,2285,11,2
-2053,155,9,1
852,-2842,9,2
-2177,634,11,2
752,2270,9,1
-1819,-1370,12,2
-1683,-299,7,1
603,-2366,11,2
2586,-382,11,2
-1608,-1566,10,1
-249,-381,12,2
-12,2999,12,2
-834,-2055,7,1
439,2234,10,1
1154,-467,11,1
100,-2355,9,1
2363,-361,11,2
-1876,-907,12,2
-38,1729,8,1
1505,1441,9,2
531,-98,7,2
-1955,2097,9,2
2507,-853,9,1
-114,1472,12,1
-838,1140,9,2
-1410,-574,9,1
-1152,1280,11,2
2255,1173,12,2
-236,105,7,1
2038,1866,9,2
-1435,-657,12,1
-861,-1538,10,2
-2790,-445,12,2
2342,1428,11,2
-386,-1020,10,2
1023,-1361,7,1
1795,570,7,1
-1092,-309,11,1
-310,-1954,12,2
2250,-1619,10,1
-729,1270,8,1
-272,-1623,11,2
152,126,12,2
-665,-2313,9,2
-2446,1309,10,2
-2658,-475,7,2
-802,-360,9,1
-499,1658,10,1
2907,585,12,2
2743,-525,12,2
1023,-1361,7,1
-577,2728,10,2
1524,342,7,2
-1007,569,11,2
-765,570,11,2
276,602,11,2
-1137,-2260,11,2
743,-2875,7,1
14,579,12,2
-1962,448,9,1
716,1141,12,2
-1735,398,10,2
2305,-1780,9,1
1874,1662,8,2
-110,-1030,10,1
-722,-1514,8,1
-644,2550,11,2
-1234,-1776,10,2
2120,-520,7,1
1710,-1019,8,1
-2152,-1900,9,2
-666,677,12,2
921,608,7,1
1346,-585,7,1
-2654,573,9,2
1313,-2691,9,2
114,1362,10,2
-531,-1270,9,1
2392,242,10,2
-38,1729,10,1
-268,-1005,8,1
1408,960,10,2
1751,1969,11,2
695,-137,10,2
-394,874,10,2
2507,-853,11,2
1677,1720,12,2
1598,1415,9,1
47,636,11,2
-216,1159,12,1
-1085,862,10,2
1238,-178,12,1
-1982,839,12,2
-630,-2347,12,2
167,-223,10,2
1618,1747,8,2
-1889,183,9,1
-1067,2285,9,1
2911,-343,7,2
2255,1173,11,2
-828,-1915,10,1
-2027,-1946,12,2
1457,1156,8,1
1451,90,11,1
1076,1777,12,2
406,-2490,10,2
630,1508,10,2
-2053,155,12,2
680,1205,10,2
896,1107,12,2
1750,2406,8,2
-219,-1185,7,1
-834,1395,7,1
262,1448,11,1
-2446,1309,7,2
-1238,1778,8,1
-1000,1351,12,2
-1727,-1237,8,1
-1245,1417,10,2
-1145,-1874,7,1
900,2291,8,1
-1969,1625,8,2
-268,-1005,9,1
128,1119,11,1
-1949,1516,7,1
1515,-1816,9,1
-458,782,11,2
227,1848,7,1
-344,-2542,7,2
684,1683,10,1
-1727,-769,12,1
59,588,10,2
2293,-1587,8,1
1464,436,11,1
-492,2439,7,1
1158,1539,12,2
-2420,1211,9,2
1935,1170,12,2
-1648,828,12,2
-1258,-1733,11,2
1282,1995,12,2
-834,-2055,11,2
2791,-684,7,1
312,2932,12,2
242,-459,9,1
-2116,1016,11,2
2117,-1644,7,1
-2404,730,10,1
-2410,252,9,1
2732,297,10,1
-328,296,12,2
724,-323,9,1
1677,1720,8,1
-1163,-2114,7,1
1288,-46,12,2
2205,803,8,2
-1298,2124,7,1
-1734,-1061,9,1
194,432,10,1
-1152,2540,11,2
1987,1323,9,2
601,404,9,2
1346,1177,8,1
-1988,725,11,2
21,-1626,8,1
2042,1662,9,2
-183,1945,12,1
-912,66,12,2
113,-723,12,2
467,-2090,11,2
745,-1028,9,1
-1039,-2526,12,2
-13,-2674,9,2
-2664,-156,9,2
-954,-2383,11,2
-300,2488,12,2
-411,-1764,12,2
2215,-1443,7,1
-550,2234,9,1
-1435,-657,11,1
-385,-171,9,2
-533,-2002,10,1
-1641,-481,9,1
2120,1831,8,2
-2395,618,7,1
-2410,252,9,2
969,2134,8,1
2104,-429,9,1
-531,-1270,11,2
-474,-2628,12,2
-2241,112,7,1
1011,-1783,7,2
-221,-2105,8,1
1069,-656,7,1
520,-1956,11,2
-1080,-775,7,1
1089,241,11,2
262,1448,11,1
539,-360,10,1
2102,744,12,2
-390,-2189,11,2
1423,1045,10,2
-431,-2532,9,2
2791,-684,12,2
966,-735,12,1
-2979,346,10,2
1282,1995,10,2
2548,-1575,10,2
672,-35,9,1
-2009,-970,11,2
-245,-2765,11,2
-718,-2432,10,2
-1067,2285,7,2
1674,412,7,2
-1064,-1638,12,2
273,-1002,9,2
2371,-281,10,2
456,-1497,9,2
434,2385,8,1
221,1140,7,1
-1007,569,12,2
841,622,7,2
1610,-511,7,1
-2235,1117,7,2
978,-2763,9,2
1723,-1443,8,1
1139,1931,12,2
-762,-1981,9,1
1158,1988,7,1
1292,-2356,11,2
2041,425,7,1
-1279,521,12,2
2833,-337,9,1
626,-565,10,1
-1386,-17,11,2
-2830,-340,12,2
385,-2556,12,2
1941,-1194,11,2
-1531,-279,8,1
-734,-2639,7,2
567,-1558,8,1
-119,-554,7,1
777,2225,8,1
879,2484,10,2
1823,-348,10,1
-884,-212,8,1
475,2655,10,2
846,-829,11,1
-1801,-904,11,1
-674,-2354,11,2
-2363,-436,9,1
769,2649,8,1
-2116,1016,12,2
602,-2441,7,2
-2249,-1182,8,1
539,-360,8,1
-1265,1417,8,1
1165,-36,11,1
1098,1577,10,1
754,2088,12,2
-1683,-299,10,1
1011,-1783,10,1
-1962,448,9,1
2614,1312,12,2
-2541,-597,7,2
32,-90,10,2
-1384,-1579,9,1
58,-923,7,2
2282,-62,7,2
1477,-1706,8,1
-1507,-1896,9,1
-187,2851,11,2
-2404,730,7,1
1083,2123,10,2
2606,-646,7,1
40,1542,11,1
-1410,-574,10,1
-2184,1308,10,2
-27,-481,12,2
59,588,7,1
-737,399,7,1
-2845,-904,12,2
2337,622,7,2
-2237,537,11,2
1649,1884,11,2
1346,-585,10,1
-2375,1181,7,2
-2847,766,7,2
1751,1969,9,2
-1250,1187,9,2
1334,-941,11,1
-2208,226,10,1
-1148,515,9,1
1408,960,7,2
-2152,-1900,11,2
74,249,7,2
-1265,1417,11,2
-1830,-831,8,1
339,-290,12,2
2422,-242,11,2
-665,-2313,8,1
1425,-947,12,1
-2288,1837,7,1
-120,-2152,7,1
-209,-1490,8,1
-710,1883,10,2
1710,-1019,12,1
1910,1163,8,1
-1209,-1095,10,1
-636,-2398,12,2
-416,286,11,2
-1703,-455,12,1
-319,-1267,9,1
1624,2267,11,2
2480,976,8,1
-1819,-1370,9,1
395,2159,10,1
1750,2406,10,2
1089,241,9,1
-1441,-2228,9,2
923,290,8,1
-2045,-1855,8,1
485,1508,7,1
2250,-214,9,1
-1510,-1943,11,1
777,2225,11,2
-4,-2261,7,1
-2847,766,10,2
-1384,-1579,10,1
-254,-1804,9,2
1751,1969,7,2
-1209,-1095,9,1
271,-35,7,1
1445,816,10,1
1764,23,7,1
-229,2561,8,1
-369,-2160,8,1
1076,1777,11,1
969,2134,8,2
-984,1742,10,1
-1476,1088,12,2
1418,-3,9,1
-555,1808,7,2
136,1646,7,1
1165,-36,7,1
1697,313,9,2
-1549,2144,12,2
1457,1156,12,2
1081,1216,8,1
1461,-1159,7,1
2265,511,10,1
1515,-1816,8,1
-254,-1804,8,1
-319,-1267,9,1
1348,1110,12,2
769,2649,11,2
-661,2685,7,1
-1201,2608,10,1
2507,-853,11,2
-492,2439,9,1
1824,280,10,1
-813,2749,9,2
-245,-2765,7,1
-2116,1016,9,2
2206,766,12,2
-768,-1653,12,2
-1272,1646,7,1
-1137,-44,7,1
-2971,-268,9,2
-968,-815,12,1
-1510,-1943,9,1
221,1140,10,1
-369,-2160,12,2
943,-1249,12,1
1734,1156,11,2
-1445,-1695,7,2
274,2566,10,1
2042,1662,12,2
-221,-2105,10,2
2641,-509,11,2
-750,1844,11,1
2200,1028,9,1
-2785,-44,8,2
2898,329,7,1
-66,-1051,11,2
-2540,-117,10,2
339,-290,8,1
2472,-99,12,2
-2580,-932,8,1
-2983,198,7,1
528,-1808,11,2
-1996,-1889,9,2
-827,-2571,12,2
-499,1658,9,1
2224,-1574,10,2
2086,-947,8,1
-1088,-833,9,1
2230,43,8,2
1795,1492,9,2
-490,652,7,1
-1537,1158,11,2
-2253,850,12,2
-2241,112,10,2
21,-1626,8,1
816,2571,12,2
-834,-2055,10,2
1350,-1711,10,2
2072,-255,10,2
1935,-1522,9,1
-1329,-214,11,2
409,1966,8,1
1232,-1435,8,1
162,2436,9,1
-661,2685,8,2
-1025,2382,9,2
1274,2328,7,1
2266,758,12,2
-119,-554,12,2
-385,-171,9,1
-390,-2189,7,2
354,1709,12,1
-1046,-1966,7,1
1424,-2340,10,2
266,-1929,9,2
-1041,-465,11,1
-722,-1514,10,2
-1061,1047,9,2
1023,-1361,11,1
-948,-1392,10,2
-2235,1117,9,2
406,-2490,11,2
841,622,11,2
1153,149,8,1
-1466,2442,10,2
-2235,-1076,12,2
577,-2133,11,2
551,-33,8,2
2416,-1380,10,2
892,2007,8,1
-345,1002,11,1
2422,-242,11,2
806,2696,7,2
1541,-1958,7,1
-1274,1686,12,2
-729,1270,9,1
-2063,1620,12,2
2222,327,10,1
-385,-171,8,1
1232,-1435,12,1
-1423,-416,7,1
-1867,-1765,7,2
57,-223,12,2
-1935,1557,11,2
2293,-1587,7,1
-556,2234,7,1
-1727,-769,9,1
-2237,-1160,12,2
-1125,2523,12,2
-2680,-971,9,2
2472,-99,8,1
-2504,261,10,2
2777,123,8,1
923,290,12,2
1002,-943,11,1
2780,503,10,2
769,2649,10,2
1047,800,7,1
-1032,2657,12,2
1418,1344,8,1
-1830,-831,12,1
-1003,806,12,2
-1185,312,7,1
-1137,-2260,10,2
2492,468,10,2
1238,-178,8,1
-187,2851,8,2
-1085,862,7,1
577,-2133,9,2
375,1636,9,1
2669,1075,11,2
-789,2242,10,2
630,1508,8,1
2791,-684,9,2
1154,-467,7,1
1623,2431,10,2
851,-2644,11,2
-548,2434,11,2
842,-1411,7,1
-848,1788,10,2
-132,1556,10,1
2404,893,7,2
2414,-579,8,1
1348,1110,7,1
-1069,163,10,1
311,1215,12,1
2507,-853,8,1
2791,-684,7,2
1445,816,7,2
114,1362,7,1
1313,-2691,7,2
2845,-272,11,1
-511,-650,9,1
790,1754,7,1
-66,-1051,10,1
-1577,1521,8,1
-682,-2177,9,2
-1512,-2589,7,1
-104,2450,7,2
599,1293,7,1
-1164,-2006,10,2
365,-2643,8,1
-2208,226,8,1
2287,-1791,9,2
-2535,1160,11,2
876,-1610,7,1
-2586,-696,11,1
913,-2066,9,2
464,2906,10,1
395,2159,11,1
-2394,703,9,1
2161,1987,9,2
745,-410,12,2
-692,1954,7,1
-2120,530,8,1
1425,433,12,2
2763,-522,7,2
-2420,1211,11,2
-1258,-1733,10,2
-994,-1172,10,2
312,2932,7,1
-968,-815,10,2
2149,2066,7,2
-1356,-1918,12,2
539,-360,8,1
671,-2859,12,2
412,2063,7,1
2201,-1599,9,1
74,249,7,1
-1700,-19,12,2
952,868,10,2
-1967,-748,8,1
852,-2842,10,2
-1115,1973,7,1
-1962,448,7,2
-761,403,10,1
-832,2334,10,2
-2310,1133,12,2
2732,297,8,2
-134,-1164,7,1
439,716,8,1
2907,-439,10,2
-828,-1915,12,2
482,-2060,9,2
-884,-212,8,1
1499,-1927,8,1
2611,326,9,2
365,-2643,11,2
1309,-2069,12,2
2473,104,12,2
-692,1954,12,1
-535,326,7,1
1569,-5,10,1
-2057,836,9,1
2416,-1380,7,1
-1726,-1711,7,1
-710,1883,8,1
1858,986,8,1
2033,1370,9,1
116,690,8,2
-114,1472,10,1
1425,-947,12,1
339,-290,8,1
303,-3,7,1
2339,-1458,10,1
311,1215,9,1
-989,-2291,11,2
2468,1351,7,2
-641,589,7,1
-1982,839,8,1
-2446,1309,11,2
-2333,1773,11,2
-864,-1327,9,1
-716,692,12,2
2238,1891,9,2
1349,-184,8,1
1781,1630,10,2
-1077,1403,7,1
-490,652,11,2
-615,-2733,7,2
-328,296,12,2
2379,950,12,2
-1739,1082,7,2
-39,1167,10,1
1821,512,11,2
-216,1159,8,1
874,334,8,1
343,-709,10,1
-427,-1045,9,1
-1319,-2438,8,1
1392,-288,12,1
-2092,-680,10,1
-473,1074,9,1
-710,1883,12,1
1488,652,11,2
1601,-2036,8,2
-2116,1016,12,2
-2680,-971,10,2
539,-360,11,1
-1697,888,9,2
492,2620,8,2
-2057,318,9,1
227,1848,8,1
-500,-1136,8,1
2511,-458,7,1
1726,2156,10,2
-762,-1981,11,2
-1470,1064,11,2
-810,-2763,8,1
1241,170,12,2
-236,105,10,2
-2465,282,12,2
2254,1724,10,2
-809,683,9,1
1083,2123,8,1
-2345,-314,7,1
-2127,482,10,2
1309,-2069,10,2
1371,113,7,1
-1648,828,10,2
-1737,-1671,11,2
-2624,-343,10,2
806,2696,10,2
-975,2223,9,1
339,-290,10,2
456,-2740,10,2
-2534,20,11,2
544,1119,11,2
-968,-815,10,1
2845,-660,10,2
-1736,-2388,8,2
-1830,-831,7,1
2392,242,9,1
128,1119,11,1
2470,-154,11,2
1457,1156,8,1
1819,1537,10,2
1074,527,11,2
855,-660,12,1
880,1254,8,2
-2541,-597,8,1
-952,-2573,10,2
876,1534,8,2
-2127,482,9,1
1612,-2181,12,2
-1044,1684,7,1
1824,280,8,1
1239,698,11,2
-1124,-2738,10,2
-344,-2542,9,1
-1442,1393,11,2
-1077,1403,10,1
-2790,-445,7,1
1600,1601,11,2
31,-448,10,2
589,-2715,10,2
-753,-2628,9,2
-967,-1692,11,2
-763,-1235,9,1
1726,2156,8,2
372,2487,8,1
-1258,-1733,12,2
-2624,-343,8,1
-300,-2226,11,2
-644,2550,7,1
852,-2842,7,1
-1999,365,7,1
-666,-1708,10,1
-2115,1740,12,2
-1074,307,9,1
786,108,12,2
-934,-2330,11,2
805,-2589,10,2
878,-925,8,1
-235,1617,10,1
1881,834,9,2
-2554,1533,11,2
-665,-2313,9,2
-2027,-1946,11,2
-217,-125,10,1
-300,2488,7,2
232,-2886,9,2
2062,-1927,11,2
1764,23,10,2
-1067,2285,7,1
-1674,-357,11,1
469,367,7,2
-1792,1882,10,2
-406,2134,8,1
1408,960,7,2
-318,1732,11,1
128,1119,12,2
1271,-530,10,1
1824,280,7,2
-967,-1692,12,2
-855,-1677,11,2
-1011,-2166,11,2
2033,1370,12,2
876,-1610,10,2
1348,1110,12,2
-2971,-268,8,1
1751,1969,7,1
-13,-2674,12,2
2743,-525,8,2
1969,466,8,2
533,-2427,12,2
59,588,10,1
485,1508,12,2
2384,283,11,2
-2249,1345,10,2
-1272,1646,9,1
2072,-255,12,2
-2394,703,8,1
2416,-1380,9,2
1232,-1435,8,1
-166,1250,12,1
-763,-1235,9,1
2756,-469,9,2
1522,-599,10,1
-2057,836,10,2
1309,-2069,7,2
2196,469,12,2
-2009,-970,10,1
-1739,1082,7,2
-1512,-2589,11,2
-856,-868,8,1
-964,-1431,11,1
-1476,1088,8,2
492,2620,7,1
-1234,-1776,7,1
-1924,-2262,11,2
-1593,2063,7,1
-458,782,8,1
658,1412,12,2
-2238,-590,7,1
2586,-382,9,1
1488,652,11,2
1002,1548,12,2
770,-136,7,1
-1027,1647,10,1
-2746,-975,11,2
1057,-2697,7,2
-268,-1005,10,2
-245,-2765,10,2
-1929,2219,8,1
2779,842,12,2
-1129,389,10,1
-999,27,12,2
-2790,-445,7,2
-607,2713,11,2
-464,1578,11,1
1710,-1019,9,1
1716,116,9,2
-1969,1625,12,2
-765,570,8,1
-2664,-156,10,2
1011,-1783,8,1
-2249,-1182,9,1
-509,-1652,11,2
-788,2045,9,1
-2363,-436,10,2
1445,816,10,2
-1683,-299,12,2
621,392,11,2
1320,429,11,2
2266,758,9,2
1881,834,10,2
-367,1956,10,1
874,334,12,2
-1333,-813,8,1
-2018,1666,11,2
-2115,1740,8,2
1334,-941,8,1
2419,35,10,1
1309,-2069,9,2
-1051,-719,7,1
754,2088,10,1
2845,-660,11,2
-650,870,7,1
133,2076,8,1
2758,719,10,2
1941,-1194,8,1
-507,1035,12,2
601,404,7,1
1158,1539,7,2
-367,1956,8,1
-1935,1557,8,2
-914,-2637,10,2
-1731,-2368,10,2
1834,-281,9,1
-607,2713,12,2
1935,1170,10,2
-110,-2602,12,2
-1769,-270,11,2
2062,-1927,8,1
905,1119,8,2
1158,1539,10,2
-1431,-1228,12,1
-37,2100,8,1
978,-2763,8,1
2252,936,9,1
-2208,-60,11,2
-69,-1280,11,2
-1697,888,10,1
19,2511,10,1
-1549,2144,12,2
190,1784,9,1
-229,2561,8,2
2422,-242,12,2
-2979,346,7,2
690,2647,7,2
-948,-1392,11,2
1410,2626,9,2
-1793,583,8,1
1910,1163,7,1
-1970,-1949,7,2
266,407,10,2
124,1685,12,1
24,1771,11,1
59,588,10,2
-1531,-524,9,1
2845,-660,7,1
395,2159,11,2
730,-364,10,2
1015,-2136,10,2
2332,1516,8,2
-967,-1692,10,1
-2249,1345,11,2
1425,433,9,1
-676,1222,11,2
403,-1562,10,2
-1319,-2438,8,1
-1000,1351,9,2
567,-1558,10,2
365,-2643,11,2
